#RFC8805
#For AS213326
"#network, iso_country code, iso_region_code, city_name, postal_code"
2a0e:46c4:2c00::/44,IN,IN-WB,Kolkata,700115
2a0e:46c4:2c00::/46,IN,IN-WB,Kolkata,700115
2a0e:46c4:2c04::/46,IN,IN-WB,Kolkata,700115
2a0e:46c4:2c08::/46,IN,IN-WB,Kolkata,700115
2a0e:46c4:2c0c::/46,IN,IN-WB,Kolkata,700115
2a0e:8f02:2110::/44,IN,IN-WB,Kolkata,700115
2a0e:8f02:2110::/46,IN,IN-WB,Kolkata,700115
2a0e:8f02:2114::/46,IN,IN-WB,Kolkata,700115
2a0e:8f02:2118::/46,IN,IN-WB,Kolkata,700115
2a0e:8f02:211c::/46,IN,IN-WB,Kolkata,700115
2a0e:8f02:f01b::/48,IN,IN-WB,Kolkata,700115
2a06:9f81:5000::/40,IN,IN-WB,Kolkata,700115
